Job_name,url
Dev-Project,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/Dev-Project/
Devops,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/Devops/
first_job,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/first_job/
geo-app,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/geo-app/
geo-app-pipeline,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/geo-app-pipeline/
geo1,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/geo1/
geolocation,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/geolocation/
Jfrog-test-pipeline,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/Jfrog-test-pipeline/
mavenproject,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/mavenproject/
nexus-project,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/nexus-project/
pipeline,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/pipeline/
QA-Project,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/QA-Project/
terraform-code,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/terraform-code/
terraform-code1,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/terraform-code1/
terraform-code2,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/terraform-code2/
test-job,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/test-job/
week16-project,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/week16-project/
Pipeline-job,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/Devops/job/Pipeline-job/
maven-pipeline,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/Devops/job/maven-pipeline/
terraform-project,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/Devops/job/terraform-project/
ansible-demo,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/nexus-project/job/ansible-demo/
code-ansible,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/nexus-project/job/code-ansible/
cronjob-pipeline,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/nexus-project/job/cronjob-pipeline/
deploy-code,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/nexus-project/job/deploy-code/
nexus-test,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/nexus-project/job/nexus-test/
geo-week16,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/week16-project/job/geo-week16/
test-node-item,http://ec2-3-236-91-177.compute-1.amazonaws.com:8080/job/week16-project/job/test-node-item/
